RI,table,variable,type
ACTRIS,actris-in-situ,sulphur_dioxide_nmol_per_mol_min,double
ACTRIS,actris-in-situ,sulphur_dioxide_ug S_per_m3_min,double
ACTRIS,actris-in-situ,sulphur_dioxide_nmol_per_mol_stddev,double
ACTRIS,actris-in-situ,sulphur_dioxide_ug S_per_m3_stddev,double
ACTRIS,actris-in-situ,anthracene,double
ACTRIS,actris-in-situ,benzo_b_naphtho_21_d_thiophene,double
ACTRIS,actris-in-situ,beta_HCH,double
ACTRIS,actris-in-situ,PCB_101,double
ACTRIS,actris-in-situ,organic_carbon_amean_Artifact,double
ACTRIS,actris-in-situ,organic_carbon_uncertainty_Artifact,double
ACTRIS,actris-in-situ,organic_carbon_max_Fraction,double
ACTRIS,actris-in-situ,aluminium,double
ACTRIS,actris-in-situ,manganese,double
ACTRIS,actris-in-situ,acidity,double
ACTRIS,actris-in-situ,sulphate_corrected_mg S_per_l,double
ACTRIS,actris-in-situ,sulphate_corrected_mg_per_l,double
ACTRIS,actris-in-situ,2-oxopropanal,double
ACTRIS,actris-in-situ,2-propenal,double
ACTRIS,actris-in-situ,3-buten-2-one,double
ACTRIS,actris-in-situ,benzaldehyde,double
ACTRIS,actris-in-situ,butanales,double
ACTRIS,actris-in-situ,butanone,double
ACTRIS,actris-in-situ,ethanal,double
ACTRIS,actris-in-situ,ethanedial,double
ACTRIS,actris-in-situ,hexanal,double
ACTRIS,actris-in-situ,methanal,double
ACTRIS,actris-in-situ,pentanal,double
ACTRIS,actris-in-situ,propanal,double
ACTRIS,actris-in-situ,propanone,double
ACTRIS,actris-in-situ,PCB_180,double
ACTRIS,actris-in-situ,susp_part_matter,double
ACTRIS,actris-in-situ,trans_CD,double
ACTRIS,actris-in-situ,fluorene,double
ACTRIS,actris-in-situ,ammonia,double
ACTRIS,actris-in-situ,nitrogen_dioxide,double
ACTRIS,actris-in-situ,dibenzo_ah_anthracene,double
ACTRIS,actris-in-situ,inden_123cd_pyrene,double
ACTRIS,actris-in-situ,ozone_nmol_per_mol_amean,double
ACTRIS,actris-in-situ,ozone_ug_per_m3_amean,double
ACTRIS,actris-in-situ,ozone_nmol_per_mol_stddev,double
ACTRIS,actris-in-situ,ozone_ug_per_m3_stddev,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_amean,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_amean,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_prec1587,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_prec1587,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_perc8413,double
