sourceVocabTitle,targetVocabTitle,dtidentifier,dtpreferredLabel,Relationship,identifier,preferredLabel,DateCreated,Creator,mappingUrl,Status
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX034,"Concentration of 2,2',4,4'-tetrachlorobiphenyl {PCB47 CAS 2437-79-8} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD126,"Concentration of 2,2',4,4'-tetrachlorobiphenyl {PCB47 CAS 2437-79-8} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530855/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX033,"Concentration of 2,2',3,5'-tetrachlorobiphenyl {PCB44 CAS 41464-39-5} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD091,"Concentration of 2,2',3,5'-tetrachlorobiphenyl {PCB44 CAS 41464-39-5} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531148/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX033,"Concentration of 2,2',3,5'-tetrachlorobiphenyl {PCB44 CAS 41464-39-5} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD122,"Concentration of 2,2',3,5'-tetrachlorobiphenyl {PCB44 CAS 41464-39-5} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530842/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX032,"Concentration of 2,2',3,3',4,4',5,5',6-nonachlorobiphenyl {PCB206 CAS 40186-72-9} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD139,"Concentration of 2,2',3,3',4,4',5,5',6-nonachlorobiphenyl {PCB206 CAS 40186-72-9} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530915/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX032,"Concentration of 2,2',3,3',4,4',5,5',6-nonachlorobiphenyl {PCB206 CAS 40186-72-9} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD172,"Concentration of 2,2',3,3',4,4',5,5',6-nonachlorobiphenyl {PCB206 CAS 40186-72-9} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531018/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX031,"Concentration of 2,2',3,3',5,5',6,6'-octachlorobiphenyl {PCB202 CAS 2136-99-4} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD079,"Concentration of 2,2',3,3',5,5',6,6'-octachlorobiphenyl {PCB202 CAS 2136-99-4} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531138/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX031,"Concentration of 2,2',3,3',5,5',6,6'-octachlorobiphenyl {PCB202 CAS 2136-99-4} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD110,"Concentration of 2,2',3,3',5,5',6,6'-octachlorobiphenyl {PCB202 CAS 2136-99-4} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530866/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX030,"Concentration of 2,2',3,3',4,4',5,5'-octachlorobiphenyl {PCB194 CAS 35694-08-7} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD140,"Concentration of 2,2',3,3',4,4',5,5'-octachlorobiphenyl {PCB194 CAS 35694-08-7} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530916/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX030,"Concentration of 2,2',3,3',4,4',5,5'-octachlorobiphenyl {PCB194 CAS 35694-08-7} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD173,"Concentration of 2,2',3,3',4,4',5,5'-octachlorobiphenyl {PCB194 CAS 35694-08-7} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531023/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX029,"Concentration of 2,2',3,4',5,5',6-heptachlorobiphenyl {PCB187 CAS 52663-68-0} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD082,"Concentration of 2,2',3,4',5,5',6-heptachlorobiphenyl {PCB187 CAS 52663-68-0} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531141/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX029,"Concentration of 2,2',3,4',5,5',6-heptachlorobiphenyl {PCB187 CAS 52663-68-0} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD113,"Concentration of 2,2',3,4',5,5',6-heptachlorobiphenyl {PCB187 CAS 52663-68-0} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530869/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX028,"Concentration of 2,2',3,5,5',6-hexachlorobiphenyl {PCB151 CAS 52663-63-5} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD093,"Concentration of 2,2',3,5,5',6-hexachlorobiphenyl {PCB151 CAS 52663-63-5} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531149/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX028,"Concentration of 2,2',3,5,5',6-hexachlorobiphenyl {PCB151 CAS 52663-63-5} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD124,"Concentration of 2,2',3,5,5',6-hexachlorobiphenyl {PCB151 CAS 52663-63-5} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530843/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX027,"Concentration of 2,2',3,4',5',6-hexachlorobiphenyl {PCB149 CAS 38380-04-0} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD080,"Concentration of 2,2',3,4',5',6-hexachlorobiphenyl {PCB149 CAS 38380-04-0} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531139/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX027,"Concentration of 2,2',3,4',5',6-hexachlorobiphenyl {PCB149 CAS 38380-04-0} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD111,"Concentration of 2,2',3,4',5',6-hexachlorobiphenyl {PCB149 CAS 38380-04-0} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530867/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX026,"Concentration of 2,2',3,4,5,5'-hexachlorobiphenyl {PCB141 CAS 52712-04-6} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD088,"Concentration of 2,2',3,4,5,5'-hexachlorobiphenyl {PCB141 CAS 52712-04-6} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531147/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX026,"Concentration of 2,2',3,4,5,5'-hexachlorobiphenyl {PCB141 CAS 52712-04-6} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD119,"Concentration of 2,2',3,4,5,5'-hexachlorobiphenyl {PCB141 CAS 52712-04-6} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530841/,accepted
